Restaurant,Reviewer,Review,Rating,Metadata
Mohammedia Shawarma,Mahender Asampalli,"I just Ordered a Chicken Shawerma , is this what you people call a shawerma!!! it was VEG OR NON VEG do you atleast know it it was full of CABBAGE and nothing else!!!!!!!!! the most HORRIBLE  shawerma i ever had!!! i jst THREW THEM IN GARBAGE!!!!! Simply its the WORST sharwarma i have ever ate!!!! do you thik it was a EATABLE !!! , paid full payment but I am not satisified with the shawarma.., IT WAS A COMPLETE WASTE OF MONEY!!!!! FRUST N never going to be order anything from UR'S (Mohammedia Shawarma) !!!!!! , So please waste Our money and Time !!!!! * 1 Rating is also Waste for it!!!",1,"1 Review , 2 Followers"
Mohammedia Shawarma,Sanchita Tripathi,"I ordered a cheese falafel wrap. The wrap had no cheese. The falafel was deep fried in oil that was quite old and I could taste it in every bite which made it quite bad. Apart from that quantity wise it was quite good, but tbh quality matters too.

Would I order again? Not really",2,"51 Reviews , 99 Followers"
Mohammedia Shawarma,Subhashree Dey,I like this place for the mayonnaise they provide. It's really tasty and thick. The chicken with salad shawarma is good here. Though they can try making the rumali roti little more softer.,3,"20 Reviews , 10 Followers"
Mohammedia Shawarma,Sarath.17.04.1993,Best shawarma served at reasonable price and the mayonnaise is simply awesome.rumali shawarma with/without salad is the best one till date .!,4,"1 Review , 1 Follower"
Mohammedia Shawarma,Najeem Khan,very good,5,"1 Review , 1 Follower"
Mohammedia Shawarma,ARUN NANI,"Till now this is the worst shawarma what I tasted
Very very bad taste and worst
Very dry and oily this is the best in bad taste quality of a chicken is also very bad",1,"1 Review , 1 Follower"
Mohammedia Shawarma,Komal Arora,no chicken in chicken shawarma. total waste of money. worthless!!,1,"1 Review , 10 Followers"
Mohammedia Shawarma,Ricky Dubey,loved the taste,5,"1 Review , 9 Followers"
Mohammedia Shawarma,Supriya Verma,Food taste was average,3,"9 Reviews , 4 Followers"
Mohammedia Shawarma,Kanishk Mishra,horrible shawarma,1,"2 Reviews , 45 Followers"
Green Bawarchi Restaurant,Pratyush Shrivastav,Paneer tikka masala was all gravy with just 4 pieces of paneer.,1,"4 Reviews , 72 Followers"
Green Bawarchi Restaurant,Shiva Kumar,not so good,2,"1 Review , 57 Followers"
Green Bawarchi Restaurant,Furious Abbadi,"Green bawarchi is a most familiar restaurant in Hyderabad. They spread over Hyderabad. You will find any green bawarchi near your area.

Coming to this like all green bawarchi restaurants, they have crowd for taken away customers. We had take many times.

Coming to dine here. It's like any normal restaurant with basic interiors. We have to wait 25-30mins after order something. We had grilled chicken, butter chicken, butter naan, rumali roti and chicken biryani. I like their chutney which comes with chicken. Biryani was nice but little spicy. Roti and butter naan both were fine.

Pocket friendly. We can go with family and friends.

Food 4/5
Ambience 2/5
Service 3/5
Value for money 4/5

Overall an option to have food according to your convenience.",3,"108 Reviews , 139 Followers"
Green Bawarchi Restaurant,Rahul Dogra,Biryani tastes good service is little to improve. Will not say the best but better to go here if planning to eat biryani in Gachibowli area.,4,"10 Reviews , 93 Followers"
Green Bawarchi Restaurant,Akshay Kannolli,"There chicken Mandi is the best in gachibowli very tasty and worth the money just that they provide very less Mayonnaise on online orders , also it would be great if they could start a single piece version of the chicken Mandi for people like me who live alone",5,"29 Reviews , 11 Followers"
Green Bawarchi Restaurant,Satya,very fast delivery,5,"2 Reviews , 1 Follower"
Green Bawarchi Restaurant,Kaushik Padmanaban,"This is the first place I experienced Hyderabadi Biryani. I walked in and ordered a chicken briyani. No big deal. The cost was nearly the same as in Chennai, about 200 bucks (I don't remember exactly, but it was around 200). I was shocked when the waiter came with a big serving of briyani. How big, you ask? Two people could share it easily. The taste was first class. I for one can handle briyani as much as you think, but I was stunned. It isn't the best briyani I've ever tasted, but its my first Hyderabadi Biryani and I loved it. Such a great experience.",5,"11 Reviews , 7 Followers"
Green Bawarchi Restaurant,Neeraj Singh,good,4,"2 Reviews , 1 Follower"
Green Bawarchi Restaurant,Naveen Chinna,super,5,"2 Reviews , 2 Followers"
Green Bawarchi Restaurant,Ankan Ghorai,Food is good but not up to the mark and decor is not good at all. Not suitable for family. There is a A.C. on upstairs bit that also not that much hyganic,4,"2 Reviews , 6 Followers"
